ID,bw,SEX,al,bl,cl,ch
SS1238,45.5,1.0,117.55,195.85,53.36,33.11
SS1239,52.6,,,201.19,62.22,
SS123,81.4,0.0,139.93,239.16,72.59,40.76
SS1240,31.6,1.0,,178.93,52.78,32.9
SS1241,46.2,1.0,118.98,202.33,57.28,34.43
SS1242,47.7,1.0,103.68,198.17,70.11,
SS1243,44.4,,109.95,195.2,60.28,36.31
SS1244,60.4,1.0,130.71,,65.16,35.89
SS1245,48.4,0.0,113.78,196.67,56.44,35.46
SS1246,61.8,0.0,130.98,224.62,,
SS1247,,1.0,109.26,194.77,57.46,
SS1248,41.8,1.0,,,55.55,30.92
SS1249,58.4,0.0,126.61,212.75,59.74,
SS124,,1.0,119.56,198.78,51.8,34.74
SS1250,,1.0,113.82,197.05,57.91,35.43
SS1251,46.1,0.0,116.93,,56.74,35.65
SS1252,,1.0,,208.65,59.11,31.49
SS1253,45.2,,,196.86,54.87,
SS1254,53.7,0.0,118.27,196.93,,34.78
SS1255,,0.0,92.96,179.25,60.41,34.95
SS1256,50.7,0.0,119.68,208.7,61.71,34.59
SS1257,53.6,1.0,127.76,212.92,,
SS1258,42.9,1.0,112.34,177.22,43.64,29.66
SS1259,50.2,,106.2,,57.26,
SS125,,,108.69,191.24,54.93,33.03
SS1260,,1.0,119.11,205.02,61.19,35.53
SS1261,53.1,,118.42,207.91,61.88,38.16
SS1262,45.4,1.0,,,54.92,40.37
SS1263,48.3,0.0,114.63,,55.8,37.15
SS1264,44.0,,108.69,,54.59,36.47
SS1265,,1.0,125.57,211.17,56.24,34.74
SS1266,,1.0,109.95,,55.41,31.28
SS1267,51.3,0.0,116.66,205.77,,32.9
SS1268,40.0,1.0,101.66,,54.8,36.69
SS1269,,,,216.52,64.17,32.19
SS126,64.7,1.0,130.54,,,36.85
SS1270,,1.0,,,56.25,
SS1271,47.8,,119.86,,56.22,
SS1272,40.4,1.0,103.97,173.99,,34.05
SS1273,45.3,,112.41,197.9,58.52,36.88
SS1274,51.4,1.0,111.21,,65.9,37.5
SS1275,45.7,1.0,,193.78,,34.79
SS1276,45.5,1.0,107.38,184.81,47.62,35.28
SS1277,45.3,1.0,106.56,172.51,42.16,33.47
SS1278,36.8,,,186.35,,33.09
SS1279,54.1,,118.99,195.84,,34.38
SS127,78.6,1.0,143.2,251.47,,42.89
SS1280,35.2,,103.94,,48.63,
SS1281,51.4,0.0,114.89,199.45,56.81,32.29
SS1282,46.5,,,193.92,45.34,31.03
SS1283,53.1,,124.16,212.12,62.55,
SS1284,38.1,,103.81,184.44,54.85,34.16
SS1285,,1.0,116.47,196.36,53.66,
SS1286,45.9,1.0,112.72,195.47,57.26,34.6
SS1287,,0.0,,,,
SS1288,62.9,,120.01,,64.03,34.89
SS1289,48.1,,112.07,199.98,,
SS128,,1.0,122.41,215.38,59.95,
SS1290,,0.0,,186.5,,31.17
SS1291,49.2,0.0,117.66,198.67,54.08,32.22
SS1292,60.3,0.0,,213.5,62.36,
SS1293,53.0,0.0,117.66,202.08,60.13,
SS1294,49.4,1.0,109.65,194.71,56.87,
SS1295,,1.0,,,,
SS1296,44.8,1.0,106.47,,,37.67
SS1297,62.4,0.0,124.84,220.54,,38.02
SS1298,46.0,1.0,112.38,,54.3,34.11
SS1299,41.2,1.0,111.33,189.53,53.06,33.14
SS129,62.5,1.0,113.9,199.23,54.89,37.77
SS12,61.8,1.0,135.64,228.0,60.98,41.07
SS1300,46.5,,114.19,199.14,,33.51
SS1301,55.5,0.0,119.11,208.34,61.7,31.97
SS1302,52.1,1.0,,,60.94,
SS1303,54.2,1.0,122.65,211.19,,
SS1304,,0.0,120.35,212.46,64.95,
SS1305,52.5,1.0,123.79,212.1,,
SS1306,,0.0,,,,
SS1307,44.3,1.0,120.45,,52.26,32.16
SS1308,50.2,1.0,120.1,205.11,,34.16
SS1309,70.3,0.0,117.64,228.69,80.79,42.56
SS130,52.7,1.0,118.7,210.04,,34.64
SS1310,57.0,0.0,122.59,205.23,,35.25
SS1311,42.2,1.0,116.41,200.3,56.36,31.96
SS1312,,1.0,107.1,188.05,56.37,33.69
SS1313,76.3,0.0,130.39,230.58,69.03,
SS1314,51.1,0.0,117.53,189.42,43.67,
SS1315,51.6,1.0,122.44,207.31,57.45,32.97
SS1317,49.4,0.0,119.36,207.05,59.98,32.76
SS1318,50.7,1.0,117.8,203.33,,36.14
SS1319,,1.0,109.21,187.72,55.05,31.8
SS131,60.4,1.0,120.57,,57.72,36.28
SS1320,49.1,,111.34,197.23,58.95,
SS1321,,1.0,,189.89,51.29,30.62
SS1322,,0.0,,192.17,51.46,32.08
SS1323,43.7,1.0,112.6,198.22,,33.75
SS1324,50.6,1.0,115.3,196.64,,34.76
SS1325,60.5,,121.85,213.11,64.53,34.11
SS1326,,1.0,111.2,,53.61,29.83
SS1327,,,,207.01,62.6,37.5
SS1328,,0.0,111.31,,58.92,
SS1329,56.4,0.0,122.37,220.65,,
SS132,91.5,0.0,,,,40.24
SS1330,45.6,0.0,118.23,198.72,,32.43
SS1331,,1.0,,200.05,53.24,
SS1332,,0.0,117.25,,,34.63
SS1333,53.3,1.0,,203.94,,
SS1334,,1.0,123.45,209.18,56.91,
SS1335,50.1,1.0,119.97,205.85,,
SS1336,46.7,,,,,
SS1337,51.8,0.0,115.51,201.86,,33.76
SS1338,,1.0,118.81,,56.27,34.34
SS1339,44.0,0.0,109.75,194.49,55.84,28.9
SS133,75.5,0.0,,225.33,65.95,
SS1340,47.6,1.0,110.48,193.84,55.1,36.47
SS1341,35.1,1.0,,180.26,45.01,29.91
SS1342,86.2,0.0,132.3,,,41.73
SS1343,46.0,0.0,,197.89,56.47,31.36
SS1344,42.0,1.0,112.56,191.82,55.46,32.84
SS1345,,0.0,122.62,,,
SS1346,51.8,1.0,,,61.43,39.23
SS1347,48.4,1.0,116.5,,61.07,36.86
SS1348,54.4,0.0,117.89,208.57,,36.98
SS1349,,0.0,129.6,225.15,69.38,38.35
SS134,,1.0,,204.34,52.69,34.21
SS1350,57.1,1.0,124.27,,,42.44
SS1351,65.0,,,225.05,69.76,35.66
SS1352,,0.0,114.68,203.65,,36.96
SS1353,53.7,1.0,119.23,,58.4,36.08
SS1354,52.6,0.0,121.6,202.09,54.54,35.79
SS1355,33.4,1.0,,174.55,47.34,25.18
SS1356,38.0,,107.18,183.86,52.06,31.34
SS1357,55.8,1.0,118.0,219.03,74.52,48.62
SS1358,55.9,1.0,116.97,201.9,58.52,36.82
SS1359,50.1,,114.69,201.55,59.32,34.58
SS135,56.8,1.0,,,,
SS1360,,0.0,119.46,220.29,,38.52
SS1361,,1.0,,199.73,58.36,34.34
SS1362,44.4,1.0,106.86,195.67,62.0,31.35
SS1363,39.0,,107.19,,,
SS1364,54.7,0.0,,211.48,63.52,36.66
SS1365,,1.0,,193.68,,32.16
SS1366,54.7,0.0,115.25,,64.27,36.31
SS1367,43.8,1.0,,,58.31,36.68
SS1368,,0.0,120.91,212.7,63.23,34.31
SS1369,64.0,,,218.94,71.07,42.0
SS136,91.7,0.0,125.89,,72.41,44.33
SS1370,,,112.43,188.6,52.61,34.61
SS1371,57.1,0.0,113.18,205.24,65.7,40.65
SS1372,53.2,1.0,116.56,,62.66,36.92
SS1373,59.3,0.0,119.55,214.87,66.44,32.97
SS1374,,0.0,119.67,202.79,,33.61
SS1375,44.5,0.0,119.32,201.13,54.89,37.85
SS1376,,1.0,114.0,192.25,53.61,32.97
SS1377,,1.0,117.27,200.62,56.58,33.61
SS1378,38.0,1.0,110.55,183.63,48.44,
SS1379,55.6,0.0,126.13,216.48,60.97,36.79
SS137,,1.0,127.13,217.63,62.94,35.79
SS1380,62.5,0.0,,213.1,63.57,37.17
SS1381,,0.0,120.17,207.16,56.21,40.76
SS1382,44.9,1.0,115.36,201.42,59.12,33.73
SS1383,61.6,0.0,121.17,213.84,,36.92
SS1384,33.7,0.0,100.84,,47.18,25.75
SS1385,58.2,1.0,129.1,223.24,65.32,
SS1386,50.7,1.0,,202.8,,35.48
SS1387,56.8,,123.81,214.37,62.74,39.18
SS1388,,1.0,113.08,,55.86,
SS1389,58.3,0.0,125.8,208.77,,36.92
SS138,54.0,1.0,114.47,208.79,56.22,34.76
SS1390,,,,211.19,,37.92
SS1391,41.1,,106.04,180.24,49.02,30.51
SS1392,49.1,1.0,108.56,201.99,63.87,40.3
SS1393,,1.0,118.98,,,36.81
SS1394,54.5,1.0,118.96,206.42,58.82,35.28
SS1395,,,117.38,204.96,61.91,34.6
SS1396,,1.0,,209.61,,
