ID,bw,SEX,al,bl,cl,ch
SS1138,59.8,0,115.35,206.52,61.32,37.53
SS1139,50.2,1,113.16,197.19,58.43,37.66
SS113,62.3,1,122.45,199.45,46.92,31.73
SS1140,56.4,0,121.06,203.57,62.25,34.67
SS1141,56.8,0,125.41,215.93,58.65,36.13
SS1142,54.3,0,117.09,201.21,57.59,33.76
SS1143,43.3,1,109.93,183.72,46.53,34.48
SS1144,39.7,1,109.99,187.63,52.02,33.23
SS1145,38.2,0,107.54,188.01,54.25,31.76
SS1146,46,1,118.34,200.07,57.47,34.8
SS1147,51.4,1,117.04,204.17,59.58,36.11
SS1148,36.3,1,104.53,178.62,50.71,34.02
SS1149,51.7,0,120.82,203.68,59.33,32.67
SS114,59.8,1,124.95,211.81,55.33,32.91
SS1150,57,0,126.91,212.27,56.03,35.09
SS1151,70.2,0,124.94,218.29,68.64,39.37
SS1152,52.6,1,115.69,205.11,59.1,37.05
SS1154,52,1,112.65,210.87,65.6,36.41
SS1155,58,1,122.68,212.73,62.99,36.09
SS1156,45.2,1,110.91,187.04,49.27,32.57
SS1157,52.2,1,111,194.46,54,35.3
SS1158,53.4,1,124.96,206.38,57.14,35.09
SS1159,36.8,1,105.22,187.2,54.8,31.37
SS115,57.2,1,119.73,209.86,62.68,40.25
SS1160,53.3,1,129.16,214.02,53.42,32.6
SS1161,40.8,1,106.46,195.32,61.78,34.67
SS1162,47.9,1,119.31,207.32,59.08,32.9
SS1163,42,1,113.06,192.43,55.75,32.43
SS1164,65.2,0,129.91,226.11,66.81,36.92
SS1165,38.5,1,112.72,191.2,53.64,31.34
SS1166,39.2,1,110.17,188.69,49.61,29.92
SS1167,59.1,0,123.16,213.27,64.35,36.66
SS1168,41.9,0,120.13,196.51,47.38,35.15
SS1169,37.1,1,115.03,192.42,51.51,28.8
SS116,53.2,1,138.05,214.97,48.72,41.09
SS1170,37,1,105.58,176.32,50.3,28.9
SS1171,49.1,1,105.41,184.47,53.57,37.15
SS1172,42.8,1,106.38,195.63,60.14,36.08
SS1173,40.7,1,107.25,191.05,59.22,37.05
SS1174,41.4,1,109.53,193.78,56.48,32.27
SS1175,47.8,1,120.54,205.51,57.85,34.11
SS1176,49.5,1,122.03,203.04,54.18,35.57
SS1177,44.8,1,109.23,191.33,55.59,32.01
SS1178,53.3,1,118.5,205.99,60.58,36.47
SS117,55.1,1,119.6,210.89,56.15,33.19
SS1180,44.4,1,110.61,191.98,55.97,36.11
SS1181,50,1,119.44,202.59,54.9,35.52
SS1182,48.2,1,108.56,186.1,48.72,35.5
SS1183,43,1,114.43,194.49,54.14,33.09
SS1184,38.6,1,104.69,183.9,54.21,32.27
SS1185,53.8,0,118.56,209.28,64.83,37.58
SS1186,46.2,0,118.43,201.36,54.53,31.8
SS1187,56.9,1,129.93,220.35,64.99,34.53
SS1188,40.1,1,106.84,188.44,55.61,30.61
SS1189,53.3,1,118.12,206.52,57.95,34.26
SS118,56.1,1,109.68,185.57,46.88,34.76
SS1190,49.2,1,107.08,205.33,69.86,36.92
SS1191,59.2,1,118.35,213.39,67.05,42.61
SS1192,48.5,1,122.19,200.45,50.01,33.94
SS1193,56,1,121.84,210.24,62.59,35.99
SS1194,49.5,1,119.59,199.9,58.56,36.06
SS1195,52.8,1,116.92,199,55.03,37.42
SS1196,56.6,1,125.5,208.61,52.08,35.85
SS1197,52.9,0,121.58,207.85,60.1,32.67
SS1198,45.4,1,108.77,193.35,60.91,34.94
SS1199,46.3,1,109.76,198.51,59.08,35.01
SS119,63,1,136.8,230.72,61.21,35.59
SS11,53.6,1,118.96,208,59.27,41.59
SS1200,48.2,0,115.88,196.29,52.61,34.95
SS1201,48.3,0,119.61,204.83,56.89,32.57
SS1202,49,1,130.55,215.42,55.77,35.35
SS1203,47.7,0,123.3,200.05,53.16,34.34
SS1204,56.4,1,126.27,207.15,59.28,34.58
SS1205,40.2,1,114.12,184.16,46.8,32.62
SS1206,43.3,1,116.49,198.11,55.83,32.22
SS1207,43.5,0,120.38,200.49,52.08,34.59
SS1208,46.1,1,119.06,199.27,53.36,34.76
SS1209,48.6,1,112.54,199.55,60.33,37.36
SS120,54.6,1,115.46,209.79,60.76,31.92
SS1210,45.6,1,107.92,195.69,58.28,34.08
SS1211,52.4,1,127.03,213.79,59.3,36.2
SS1212,49.3,1,119.47,205.3,57.49,32.93
SS1213,47.4,1,116.51,211.94,65.95,39.01
SS1214,31.3,1,102.63,174.14,46.87,33.76
SS1215,47.3,0,114.77,202.47,63.77,34.75
SS1216,43.4,1,115.81,195.28,54.63,33.47
SS1217,54.7,0,123.27,211.64,57.7,32.8
SS1218,39.5,1,113.59,192.55,51.62,29.79
SS1219,53.4,1,121.77,212.3,63.03,35.35
SS121,60.2,1,134.53,220.31,59.75,34.93
SS1220,35.5,1,108.9,186.88,54.17,26.65
SS1221,43.7,1,116.67,198.93,56.6,35.63
SS1222,50.4,1,116.17,201.38,56.72,32.97
SS1223,53.8,0,116.67,206.03,61.02,33.97
SS1224,47.5,1,110.37,200.56,62.74,34.53
SS1225,46,1,111.71,193.91,54.72,32.24
SS1226,49.1,1,114.06,198.35,56.14,36.08
SS1227,43.7,1,113.54,179.14,45.77,33.23
SS1228,44.8,0,115.75,188.27,44.82,33.61
SS1229,43.3,0,115.11,195.45,51.67,31.36
SS122,57.5,1,122.41,202.83,50.8,34.76
SS1230,32.5,1,103.11,174.71,49.35,27.73
SS1231,45.2,0,114.93,198.81,55.79,32.93
SS1232,53,0,126.56,211.89,57,34.11
SS1233,56.5,0,122.06,211.75,61.48,38.45
SS1234,51.5,1,128.79,213.7,56.63,33.87
SS1235,34.8,1,103.88,182.06,52.59,29.21
SS1236,49,1,107.64,204.98,67.4,43.51
SS1237,49.7,0,114.3,198.61,58.64,35.82
SS1238,45.5,1,117.55,195.85,53.36,33.11
SS1239,52.6,0,115.93,201.19,62.22,36.66
SS123,81.4,0,139.93,239.16,72.59,40.76
SS1240,31.6,1,104.42,178.93,52.78,32.9
SS1241,46.2,1,118.98,202.33,57.28,34.43
SS1242,47.7,1,103.68,198.17,70.11,40.14
SS1243,44.4,0,109.95,195.2,60.28,36.31
SS1244,60.4,1,130.71,224.06,65.16,35.89
SS1245,48.4,0,113.78,196.67,56.44,35.46
SS1246,61.8,0,130.98,224.62,67.28,37.92
SS1247,39.6,1,109.26,194.77,57.46,34.14
SS1248,41.8,1,109.92,187.31,55.55,30.92
SS1249,58.4,0,126.61,212.75,59.74,36.81
SS124,52.7,1,119.56,198.78,51.8,34.74
SS1250,42.2,1,113.82,197.05,57.91,35.43
SS1251,46.1,0,116.93,199.61,56.74,35.65
SS1252,48.7,1,121.94,208.65,59.11,31.49
SS1253,45.2,1,115.06,196.86,54.87,33.75
SS1254,53.7,0,118.27,196.93,56.17,34.78
SS1255,35,0,92.96,179.25,60.41,34.95
SS1256,50.7,0,119.68,208.7,61.71,34.59
SS1257,53.6,1,127.76,212.92,57.89,34.43
SS1258,42.9,1,112.34,177.22,43.64,29.66
